,Aircraft_id,AIRCRAFT,FULL_NAME,Aircraft_type,HYPERLINK
0,2,Breguet 14 B2,Breguet Br.14,Biplane Reconnaissance / Fighter / Bomber ,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=242
1,3,Airco DH4 Day Bomber,Airco DH.4,Biplane Lightweight Day Bomber,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=448
2,4,Spad XIII,Spad S.XIII,Fighter,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=200
3,5,Caproni Ca.32,Caproni CA.1/CA.32,Heavy Bomber Biplane,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=774
4,6,Seaplanes,Italian Seaplane mostly likely a Macchi M.5 or M.3,Reconnaissance / Patrol / Bomber / Fighter,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=963 / http://en.wikipedia.org/wiki/Macchi_M.3
5,7,Liberty DH 4,Airco DH.4,Biplane Lightweight Day Bomber,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=448
6,8,Caproni Ca.32 & British Bomber Sqdns,Caproni CA.1/CA.32,Heavy Bomber Biplane,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=774
7,9,FE2b,Royal Aircraft Factory F.E.2,Reconnaissance / Fighter / Night Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=633
8,10,Hadley Page O/100,Handley Page H.P. O/100,Bomber Biplane,http://en.wikipedia.org/wiki/Handley_Page_Type_O
9,11,Caproni,Most likely the Caproni C.36,Heavy Bomber Biplane,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=649
10,12,Hadley Page O/400,Handley Page H.P. O/400,Heavy Bomber Biplane,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=454
11,13,Airco DH9 Day Bomber,Airco DH.9,Light Bomber Biplane,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=290
12,14,Voisin 8,Voisin Type 8,Bomber / Night Bomber,http://airandspace.si.edu/collections/artifact.cfm?object=nasm_A191900070000
13,15,Airco DH9A Day Bomber,Airco DH.9A,Light Bomber Biplane,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=290
14,16,Caproni Ca.32/ Farmann,Farman MF.11 Shorthorn,Reconnaissance / Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=847ttp://militaryfactory.com/aircraft/detail.asp?aircraft_id=774Caproni Ca.32/ Farmann
15,17,Airship,Most Italian Airships were made by Enrico Forlanini,Reconnaissance / Bomber,http://en.wikipedia.org/wiki/List_of_Forlanini_airships
